type,text,url
link,,#
link,اکاؤنٹ بھول گئے؟,https://www.facebook.com/recover/initiate/?ars=facebook_login&cancel_lara_pswd=0&next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,Facebook کیلئے سائن اپ کریں,/r.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094&locale=ur_PK&display=page
link,English (UK),https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,پښتو,https://en-gb.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,العربية,https://ps-af.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,हिन्दी,https://ar-ar.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,বাংলা,https://hi-in.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,ਪੰਜਾਬੀ,https://bn-in.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,فارسی,https://pa-in.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,ગુજરાતી,https://fa-ir.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,Deutsch,https://gu-in.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,Español,https://de-de.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fmessages%2Ft%2F156025504001094
link,,#
link,سائن اپ کریں,/reg/
link,لاگ ان کریں,/login/
link,Messenger,https://messenger.com/
link,Facebook Lite,/lite/
link,ویڈیو,https://www.facebook.com/watch/
link,Meta Pay,https://about.meta.com/technologies/meta-pay
link,Meta سٹور,https://www.meta.com/
link,Meta Quest,https://www.meta.com/quest/
link,Ray-Ban Meta,https://www.meta.com/smart-glasses/
link,‏‏‏Meta AI,https://www.meta.ai/
link,Instagram,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT3wmLCxSjwPX9_xNr8NAtC6V5VarkgsFQ-8Juf6ToCpjsi5j5BKlpys5f5fydtCilVOtgag7KJR2FrvwE8YZoAeVmmIK2ih2928SS1ebuDJ5pv7t8kBURYfkbj5bwzmcm4BF_lMKpWLtLfV
link,Threads,https://www.threads.net/
link,ووٹنگ انفارمیشن سنٹر,/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D
link,رازداری کی پالیسی,/privacy/policy/?entry_point=facebook_page_footer
link,رازداری سنٹر,/privacy/center/?entry_point=facebook_page_footer
link,تعارف,https://about.meta.com/
link,اشتہار بنائیں,/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto
link,پیج بنائیں,/pages/create/?ref_type=site_footer
link,ڈویلپرز,https://developers.facebook.com/?ref=pf
link,کیرئیر,/careers/?ref=pf
link,کوکیز,/policies/cookies/
link,اِشتہار کے اختیارات,https://www.facebook.com/help/568137493302217
link,شرائط,/policies?ref=pf
link,مدد,/help/?ref=pf
link,رابطے اپ لوڈ کرنا اور غیر صارفین,https://www.facebook.com/help/637205020878504
link,سیٹنگز,/settings
link,سرگرمیوں کی فہرست,/allactivity?privacy_source=activity_log_top_menu
